volume_tests,company_id,company_type,time,date,month,year,day,is_weekend,season,avg_pesq_score,quality_too_poor,number_busy,temporarily_unable_test,outage_hrs,number_test_types,numbers_tested,followup_tests,min_commit
48406,2,Enterprise,2016-12-06,6,12,2016,Tues,0,Winter,4.06403,7,1,0,0.1,2,1940,0,nan
30598,2,Enterprise,2016-12-07,7,12,2016,Wed,0,Winter,3.7070595,7,167,17,8.85,3,531,0,nan
36327,2,Enterprise,2016-12-08,8,12,2016,Thurs,0,Winter,3.7084025,1,94,1,5.52,3,1818,0,nan
37692,2,Enterprise,2016-12-09,9,12,2016,Fri,0,Winter,3.80882,4,44,3,3.67,3,2092,0,nan
22551,2,Enterprise,2016-12-10,10,12,2016,Sat,1,Winter,3.863629,2,14,0,0.5,3,299,0,nan
21374,2,Enterprise,2016-12-11,11,12,2016,Sun,1,Winter,3.8529925,0,10,0,0.1,3,231,0,nan
37571,2,Enterprise,2016-12-12,12,12,2016,Mon,0,Winter,3.849477,7,251,1,419.67,3,2086,0,nan
38378,2,Enterprise,2016-12-13,13,12,2016,Tues,0,Winter,3.8556055,16,428,0,252.98,3,2089,0,nan
38356,2,Enterprise,2016-12-14,14,12,2016,Wed,0,Winter,3.860039,9,304,0,10.58,3,2087,0,nan
38274,2,Enterprise,2016-12-15,15,12,2016,Thurs,0,Winter,3.8575615,6,333,290,35.37,3,2091,0,nan
37590,2,Enterprise,2016-12-16,16,12,2016,Fri,0,Winter,3.8505,121,613,75,12.56,3,2033,0,nan
22065,2,Enterprise,2016-12-17,17,12,2016,Sat,1,Winter,3.7906025,135,433,2,24,3,300,0,nan
20701,2,Enterprise,2016-12-18,18,12,2016,Sun,1,Winter,3.7947555,17,256,1,31.5,3,233,0,nan
36867,2,Enterprise,2016-12-19,19,12,2016,Mon,0,Winter,3.818344,98,122,31,25.1,3,2078,10,nan
37998,2,Enterprise,2016-12-20,20,12,2016,Tues,0,Winter,3.849906,148,521,84,48.33,3,2083,10,nan
38990,2,Enterprise,2016-12-21,21,12,2016,Wed,0,Winter,3.8502565,112,578,111,78.57,3,2081,0,nan
39331,2,Enterprise,2016-12-22,22,12,2016,Thurs,0,Winter,3.8479515,94,31,152,59.15,3,2097,0,nan
38428,2,Enterprise,2016-12-23,23,12,2016,Fri,0,Winter,3.8624925,148,3,134,48,3,2036,0,nan
22921,2,Enterprise,2016-12-24,24,12,2016,Sat,1,Winter,3.8896055,0,2,9,48,3,301,0,nan
21825,2,Enterprise,2016-12-25,25,12,2016,Sun,1,Winter,3.8732935,0,8,14,48,3,234,10,nan
37683,2,Enterprise,2016-12-26,26,12,2016,Mon,0,Winter,3.8633655,16,4,86,48,3,2086,0,nan
38555,2,Enterprise,2016-12-27,27,12,2016,Tues,0,Winter,3.8577655,106,6,73,48,3,2083,0,nan
38797,2,Enterprise,2016-12-28,28,12,2016,Wed,0,Winter,3.8613045,22,88,88,91.01,3,2067,20,nan
38342,2,Enterprise,2016-12-29,29,12,2016,Thurs,0,Winter,3.8603505,44,300,45,245.53,3,2042,50,nan
38053,2,Enterprise,2016-12-30,30,12,2016,Fri,0,Winter,3.872807,10,2,36,96,3,1987,0,nan
22888,2,Enterprise,2016-12-31,31,12,2016,Sat,1,Winter,3.8907875,0,15,3,97.92,3,301,0,nan
